sp_5	sp_6_1	sp_6_2	Em1glen	Em2glen	Em3glen	9_1_1	9_6	MdEm1	MdEm2	MdEm3	8_6	8_7
TRINITY_DN11293_c0_g1	10.6162124820328	11.0066353446029	10.4671602428531	2.99656952397319	2.23878685958712	0.717210299019596	0.605968358841458	0.929790997718597	4.95967743404167	3.12449357219531	6.26912667914942	1.01720929003222	1.37629038333705
TRINITY_DN19609_c2_g2	5.21513496000223	5.42105494692424	5.80374366850523	3.98458935036246	2.88166461932035	4.12093248507061	2.02005765234125	1.85519240795915	5.12478304164196	5.26303440583379	5.06565847093199	3.31019468031354	4.20335779222588
TRINITY_DN17605_c1_g1	0	0	0.232660756790275	1.07176266930009	1.29748491571057	1.84639302085236	0	0	0.246104009883917	0.12961273813047	0.12565110166152	0	0
TRINITY_DN15002_c0_g1	1.70354371973382	1.94035471153329	2.67671874411843	6.26060909155156	6.07734982962161	6.46221595459776	6.69146437341683	6.83558306086181	6.48249337256897	6.59318941152044	6.37956898085021	5.9028936076089	6.34911754083034
TRINITY_DN20664_c1_g1	0	0	0	1.46152855947288	0.560714954474479	1.24671210053186	0	0	0	0	0	0	0
TRINITY_DN5821_c0_g3	7.075350785368	7.25014679666728	7.10182863721073	0	0	0	0	0	4.09761079662642	1.14208662961753	3.89946568745449	5.43419452001193	0
TRINITY_DN18242_c0_g1	6.799087306074	6.7876675311014	6.27207919321629	3.84569075977064	3.51563676826979	3.2103888644454	3.71567376554819	4.02706556160638	4.06875678516177	4.40040130426606	4.29204549249286	3.99990982874206	4.56480493828889
TRINITY_DN18869_c0_g1	4.28369957423635	5.11027971297561	5.7033499151664	4.93121027480393	4.85638817681409	4.80007156815555	3.20539251298968	3.7835614214378	5.45335295377561	4.64765988600992	5.40493717326898	3.28080788077975	2.47014636704151
TRINITY_DN17000_c1_g1	2.23051046036618	3.05762355847813	3.72148203327172	5.90597659928656	6.22195439385221	6.47848651208419	6.67419226814568	6.29495152002423	6.67110934352018	6.39494279850408	6.51932173462943	5.73072146180879	5.78779810710056
TRINITY_DN21488_c0_g2	0.904580434921317	1.25459404303314	1.37350901551801	3.65041992519221	4.03465592375706	2.78910321750138	0.854394677753101	0.425459304765355	0.811471030529836	1.03913839390696	0.845590408847855	2.69821847822441	2.70154905694307
TRINITY_DN14168_c0_g2	0	1.11236652307256	0.303342394487331	6.41413553298445	6.1686821455173	6.29487802188163	7.90291771903359	7.93652016317158	5.45512991518378	5.455984709226	5.45972668517398	7.26622434219163	6.93981425749555
TRINITY_DN25877_c0_g1	2.49287864820573	0	2.63366369686663	2.87872534148011	3.86878552255535	4.54467084248156	4.18737186990914	3.4425454561053	4.72268459807061	5.29178771384206	4.82497146545623	0	0
TRINITY_DN21671_c14_g9	0	0	0	3.5157629055412	2.81885056089543	3.59072177000984	1.83673208045914	0	3.30129498100914	3.17600355700892	3.12961273813047	0	0
TRINITY_DN18377_c0_g1	1.33685463912547	1.13815914522947	2.36876834909033	5.27742689653266	5.74722625568983	5.46603974334578	5.78732797818397	6.2303759603656	6.46812710823984	6.05976625562852	6.16150479350284	4.92718535782637	3.93988476298329
TRINITY_DN19690_c0_g1	0.269033146455237	0	0.0813396274519388	6.91231453823801	6.29419798649742	7.38404116994555	3.68526740651684	1.85039939677025	4.89166220799394	4.76107247078864	5.4394236728416	1.68526740651684	1.10634831950515
TRINITY_DN21623_c14_g1	2.86710572950265	3.15493959404572	0.853596506202512	5.09596660344734	4.28281043957256	5.24084856190448	3.3389948190772	0	6.89096948977447	3.07929276727285	7.19541650268987	4.02680005934372	2.80343371146442
TRINITY_DN29901_c0_g1	5.4608735928112	4.8909816455926	4.94044868287616	4.34681509420054	4.17759892932773	4.50665271538924	3.39451414195596	3.08508467862865	5.55716498397718	5.06164660837982	5.55642941544957	2.73595535401226	3.77663042305105
TRINITY_DN13495_c0_g1	0.748461233004036	0	0.835115615258218	0.232660756790275	1.56803210477128	1.77736710945041	1.81639490916912	3.56083721158577	3.78146463298515	2.8916136070392	4.23304440126558	1.79576694778239	0
