sp_5	sp_6_1	sp_6_2	Em1glen	Em2glen	Em3glen	9_1_1	9_6	MdEm1	MdEm2	MdEm3	8_6	8_7
sp_5	1	0.950000817685031	0.959050529190929	0.00882011444242985	0.0778007582683602	0.0580607868452696	0.133699419741278	0.161884415494476	0.389388496105578	0.34563057631831	0.484907213767931	0.134050907285049	0.0340434691552995
sp_6_1	0.950000817685031	1	0.976587015721401	-0.0343454789049992	0.0291802676957357	0.0125474113776248	0.0937691061913067	0.128162986422717	0.306505615956726	0.265433048239692	0.419164975896533	0.125136772439152	0.00705490320789744
sp_6_2	0.959050529190929	0.976587015721401	1	0.00149272398660195	0.0648995246016659	0.0511522601487812	0.134575123397672	0.166160539388085	0.352984709430306	0.306932811973708	0.460601207410401	0.16136464748565	0.0460697197255823
Em1glen	0.00882011444242985	-0.0343454789049992	0.00149272398660195	1	0.961637149226406	0.963414853966916	0.756895404026882	0.714303620286654	0.607947348596047	0.617805814675991	0.553209452985025	0.64925300993218	0.730332758937225
Em2glen	0.0778007582683602	0.0291802676957357	0.0648995246016659	0.961637149226406	1	0.946176633332151	0.748816718720123	0.711578459232283	0.626532591524025	0.634992998603371	0.577518972642893	0.656452214308809	0.72795585357515
Em3glen	0.0580607868452696	0.0125474113776248	0.0511522601487812	0.963414853966916	0.946176633332151	1	0.802879482654048	0.764658913164411	0.678558049769594	0.686995917487466	0.627821671031668	0.621901428186635	0.693719912754478
9_1_1	0.133699419741278	0.0937691061913067	0.134575123397672	0.756895404026882	0.748816718720123	0.802879482654048	1	0.954991747104636	0.721190024535242	0.737550203136798	0.681379483210278	0.656264889202867	0.69927937085776
9_6	0.161884415494476	0.128162986422717	0.166160539388085	0.714303620286654	0.711578459232283	0.764658913164411	0.954991747104636	1	0.70876459683305	0.726315426271643	0.681366849803251	0.660588020013875	0.676564376199475
MdEm1	0.389388496105578	0.306505615956726	0.352984709430306	0.607947348596047	0.626532591524025	0.678558049769594	0.721190024535242	0.70876459683305	1	0.976009031175713	0.972062375772008	0.466627565617605	0.485348815336573
MdEm2	0.34563057631831	0.265433048239692	0.306932811973708	0.617805814675991	0.634992998603371	0.686995917487466	0.737550203136798	0.726315426271643	0.976009031175713	1	0.949682900258442	0.473726924808603	0.493443671967607
MdEm3	0.484907213767931	0.419164975896533	0.460601207410401	0.553209452985025	0.577518972642893	0.627821671031668	0.681379483210278	0.681366849803251	0.972062375772008	0.949682900258442	1	0.447326085946438	0.434163763773709
8_6	0.134050907285049	0.125136772439152	0.16136464748565	0.64925300993218	0.656452214308809	0.621901428186635	0.656264889202867	0.660588020013875	0.466627565617605	0.473726924808603	0.447326085946438	1	0.893047449893437
8_7	0.0340434691552995	0.00705490320789744	0.0460697197255823	0.730332758937225	0.72795585357515	0.693719912754478	0.69927937085776	0.676564376199475	0.485348815336573	0.493443671967607	0.434163763773709	0.893047449893437	1
