sp_5	sp_6_1	sp_6_2	Em1glen	Em2glen	Em3glen	9_1_1	9_6	MdEm1	MdEm2	MdEm3	8_6	8_7
TRINITY_DN20025_c1_g1	2.09286351323252	1.4192881626844	2.68151005785305	5.41796823803436	5.86650543695628	5.25503306632529	5.46784110797717	5.59981820729181	5.00133552078331	5.01987206962237	4.72846956421432	5.5865172173342	5.93418272502455
TRINITY_DN15812_c0_g1	0.375071239004999	0	0	0.297971342903108	0.553962022508998	0.151013232610096	0	1.0914470726591	0	0.272082936867346	0	0	0
TRINITY_DN11169_c0_g1	9.56342442357915	9.56743736077033	8.73914766869745	3.51580797331371	3.96610738031164	3.06925261993989	2.4823029909937	2.96074518664868	5.75559994699225	6.49911325279003	6.20397690494874	4.80150620227321	4.00328406859915
TRINITY_DN15536_c0_g1	0	0.877561750966858	0.951339588825112	0.544810678395408	0.953245849896109	0	0	0	0.278022532858215	0	0.277034905338658	0	0
TRINITY_DN15327_c1_g1	3.61851313332977	4.04347138333967	4.09246772793319	4.99868972068009	4.90235896915	5.03476670945554	5.13263649225872	5.75892145357624	4.84475693957613	5.11366305510727	4.60212530578814	6.84885510185281	5.42968613305702
TRINITY_DN17514_c0_g1	5.7508433499255	6.07815661773171	6.32171624335071	6.75364641155335	6.72597402891007	6.76568047314397	6.3851199627496	6.55046797796065	6.45296915466953	6.6967902785864	6.29041005416607	7.54663567794535	6.68996930177246
TRINITY_DN20075_c0_g1	3.02248965702417	3.88897844005183	3.94284066978809	6.54441296975039	6.43151281442939	6.1080015419946	5.70382540060338	4.92613193778226	5.30649972399141	5.22593143218965	5.15004872068103	6.3906111334643	6.83002040417458
TRINITY_DN20671_c0_g1	4.06487340629566	3.71593507136669	3.69498506573007	5.88366614286816	6.10838365952117	5.55167570289188	4.54126858466165	5.25998533300015	4.28468164244239	4.45014070344669	4.62705938465272	6.27013704118577	6.19327937446612
TRINITY_DN21629_c10_g5	1.622145625813	0.877561750966858	1.77717138624862	2.51172005924039	2.64760460273417	2.65460804385085	0.72719076380904	1.70564765655446	1.25184414811276	1.57130065577861	1.59032357439591	3.31647002829066	1.32403075980446
TRINITY_DN18056_c3_g1	2.18993305061113	0.877561750966858	1.92637974284266	1.31683731796372	2.64760460273417	0.287706364755312	0	0	0.278022532858215	0.391025302724142	0.397860958642674	0	0
TRINITY_DN23332_c0_g1	4.01275487499187	4.07964127079344	4.04429593657704	6.51395322914418	5.95353499874126	6.27765412400676	0	0	6.0264590517451	5.83123698635501	5.81388931630137	0	0
TRINITY_DN18637_c0_g1	2.9899700511731	3.54174492825365	3.74386330640806	2.96344530534701	2.91604022444017	2.98670360452703	4.26604665041548	3.32869475587546	3.2374313731336	3.6076331687959	3.2349846269879	4.16138955146109	2.64679906333656
TRINITY_DN21652_c29_g8	8.99572918425744	8.31241742441126	8.73914766869745	4.24861331735468	4.14852771844049	4.18701127280031	3.14811251081206	2.73430494322195	4.85008230508679	4.25223781949686	5.29712015229583	5.20355184675908	4.64721898423227
