sp_5	sp_6_1	sp_6_2	Em1glen	Em2glen	Em3glen	9_1_1	9_6	MdEm1	MdEm2	MdEm3	8_6	8_7
sp_5	1	0.96515060217608	0.97111444437484	0.499824692062036	0.543625081144059	0.51928672897287	0.518180074112974	0.533343931590598	0.685071492473999	0.665081433065034	0.737928780624545	0.520707948286077	0.458854341370407
sp_6_1	0.96515060217608	1	0.98229332520666	0.477159581546286	0.518731067834521	0.495922294772224	0.496579232134903	0.514225746812052	0.645107730585683	0.625559437560947	0.706385461702475	0.516671570527805	0.444264311559215
sp_6_2	0.97111444437484	0.98229332520666	1	0.507399438359367	0.54743612162091	0.526880785179591	0.529890347008309	0.545248819070969	0.678026708329927	0.655932867679834	0.735182198882382	0.548148967154573	0.478885355990691
Em1glen	0.499824692062036	0.477159581546286	0.507399438359367	1	0.97495322481127	0.976622726228374	0.874315055864286	0.850103970400718	0.825087424146699	0.827786748929787	0.803688818442623	0.820324429867227	0.85966397628802
Em2glen	0.543625081144059	0.518731067834521	0.54743612162091	0.97495322481127	1	0.964722052803493	0.863694246111426	0.844287635585335	0.832731029232192	0.835095602776975	0.815655810522875	0.822930625831163	0.852528160087557
Em3glen	0.51928672897287	0.495922294772224	0.526880785179591	0.976622726228374	0.964722052803493	1	0.894433595590732	0.872810979699935	0.855619604815735	0.858135476613088	0.835207379424934	0.800085423661827	0.833705408097327
9_1_1	0.518180074112974	0.496579232134903	0.529890347008309	0.874315055864286	0.863694246111426	0.894433595590732	1	0.969799106904777	0.859129116166212	0.868489665316285	0.839286417421119	0.800841406351599	0.826672612652833
9_6	0.533343931590598	0.514225746812052	0.545248819070969	0.850103970400718	0.844287635585335	0.872810979699935	0.969799106904777	1	0.847832386924754	0.859882473140455	0.834138729731301	0.801813426355924	0.810728359837781
MdEm1	0.685071492473999	0.645107730585683	0.678026708329927	0.825087424146699	0.832731029232192	0.855619604815735	0.859129116166212	0.847832386924754	1	0.986141987943454	0.985999640131987	0.722812542716816	0.731865248691684
MdEm2	0.665081433065034	0.625559437560947	0.655932867679834	0.827786748929787	0.835095602776975	0.858135476613088	0.868489665316285	0.859882473140455	0.986141987943454	1	0.974931532484469	0.726795516952975	0.733538443195223
MdEm3	0.737928780624545	0.706385461702475	0.735182198882382	0.803688818442623	0.815655810522875	0.835207379424934	0.839286417421119	0.834138729731301	0.985999640131987	0.974931532484469	1	0.71389233533731	0.70704518644245
8_6	0.520707948286077	0.516671570527805	0.548148967154573	0.820324429867227	0.822930625831163	0.800085423661827	0.800841406351599	0.801813426355924	0.722812542716816	0.726795516952975	0.71389233533731	1	0.926859092400791
8_7	0.458854341370407	0.444264311559215	0.478885355990691	0.85966397628802	0.852528160087557	0.833705408097327	0.826672612652833	0.810728359837781	0.731865248691684	0.733538443195223	0.70704518644245	0.926859092400791	1
