group	lib.size	norm.factors	eff.lib.size
8_6	1000041	1.79518922841885	1795262.83117722
8_7	1000003	1.555193583174	1555198.24875475
9_1_1	1e+06	0.844825075097185	844825.075097185
9_6	999986	0.876637932694634	876625.659763576
MdEm1	999444	0.878172204895809	877683.941149887
MdEm2	999418	0.82625480097854	825773.920684371
MdEm3	999398	0.840672714246697	840166.62927272
Em1glen	999502	1.1531537192026	1152579.44865043
Em2glen	999738	1.18850156597365	1188190.17856337
Em3glen	999494	1.08238898866296	1081841.2998347
sp_5	999867	0.815427687698341	815319.235815877
sp_6_1	999920	0.779115834589912	779053.505323145
sp_6_2	999859	0.841278536264825	841159.915991211
