#gene_id	length
TRINITY_DN9213_c0_g1	377
TRINITY_DN23563_c0_g1	383
TRINITY_DN12628_c0_g1	742
TRINITY_DN12351_c0_g2	677
TRINITY_DN20240_c0_g1	3236
TRINITY_DN17367_c0_g1	1220
TRINITY_DN31201_c0_g1	373
TRINITY_DN29102_c0_g1	328
TRINITY_DN16799_c0_g1	760
TRINITY_DN957_c0_g1	462
TRINITY_DN13520_c0_g1	932
TRINITY_DN36_c0_g1	862
TRINITY_DN12185_c0_g1	952
TRINITY_DN576_c0_g1	431
TRINITY_DN28168_c0_g1	440
TRINITY_DN16273_c0_g1	707
TRINITY_DN13341_c0_g1	543
TRINITY_DN19690_c0_g1	3155
TRINITY_DN3640_c0_g1	283
TRINITY_DN22022_c0_g1	217
TRINITY_DN26517_c0_g1	365
TRINITY_DN739_c0_g1	309
TRINITY_DN20261_c1_g1	693
TRINITY_DN15627_c1_g1	1931
TRINITY_DN20215_c1_g1	2063
TRINITY_DN24237_c0_g1	341
TRINITY_DN29883_c0_g1	617
TRINITY_DN103_c0_g2	344
TRINITY_DN2738_c0_g2	807
TRINITY_DN2738_c0_g1	768
TRINITY_DN23416_c0_g1	316
TRINITY_DN16693_c0_g1	1509
TRINITY_DN18403_c0_g1	1557
TRINITY_DN22946_c0_g1	246
TRINITY_DN17141_c0_g1	1039
TRINITY_DN14850_c0_g1	1092
TRINITY_DN12434_c0_g1	449
TRINITY_DN25104_c0_g1	303
TRINITY_DN12434_c0_g2	461
TRINITY_DN18134_c2_g4	477
TRINITY_DN15885_c0_g1	530
TRINITY_DN18134_c2_g7	205
TRINITY_DN18134_c2_g2	422
TRINITY_DN18134_c2_g8	1138
TRINITY_DN18134_c2_g9	224
TRINITY_DN7426_c0_g3	1120
TRINITY_DN7426_c0_g1	1155
TRINITY_DN14681_c2_g2	280
TRINITY_DN14681_c2_g1	279
TRINITY_DN19674_c0_g1	3307
TRINITY_DN20710_c0_g1	1670
TRINITY_DN3297_c0_g1	678
TRINITY_DN16517_c0_g1	2341
TRINITY_DN18313_c0_g1	431
TRINITY_DN15707_c0_g1	1185
TRINITY_DN20050_c0_g1	1744
TRINITY_DN10723_c0_g1	1145
TRINITY_DN13402_c0_g1	1386
TRINITY_DN14226_c0_g1	268
TRINITY_DN14434_c0_g1	957
TRINITY_DN26691_c0_g1	523
TRINITY_DN22133_c0_g1	439
TRINITY_DN21785_c0_g1	457
TRINITY_DN18126_c0_g1	2028
TRINITY_DN5301_c0_g2	228
TRINITY_DN18769_c0_g1	1967
TRINITY_DN11146_c0_g1	752
TRINITY_DN11945_c0_g1	420
TRINITY_DN12678_c0_g1	664
TRINITY_DN11466_c0_g1	918
TRINITY_DN25679_c0_g1	206
TRINITY_DN19855_c10_g1	465
TRINITY_DN9996_c0_g1	586
TRINITY_DN19413_c1_g3	3213
TRINITY_DN20156_c0_g1	2535
TRINITY_DN19414_c1_g3	236
TRINITY_DN19414_c1_g6	1439
TRINITY_DN19414_c1_g9	219
TRINITY_DN16005_c0_g2	281
TRINITY_DN19560_c2_g1	2845
TRINITY_DN16276_c1_g1	1057
TRINITY_DN17540_c0_g1	2301
TRINITY_DN1995_c0_g2	348
TRINITY_DN1995_c0_g1	262
TRINITY_DN6926_c0_g1	2580
TRINITY_DN19378_c0_g1	1798
TRINITY_DN24278_c0_g1	367
TRINITY_DN32456_c0_g1	282
TRINITY_DN15743_c0_g1	982
TRINITY_DN16547_c0_g1	1743
TRINITY_DN21426_c2_g2	301
TRINITY_DN18259_c0_g1	1332
TRINITY_DN30272_c0_g1	238
TRINITY_DN32721_c0_g1	401
TRINITY_DN7987_c0_g1	323
TRINITY_DN3450_c0_g1	371
TRINITY_DN7987_c0_g2	272
TRINITY_DN17910_c5_g1	312
TRINITY_DN9903_c0_g1	215
TRINITY_DN22908_c0_g1	274
TRINITY_DN889_c0_g1	537
TRINITY_DN19308_c0_g2	494
TRINITY_DN19308_c0_g3	1224
TRINITY_DN19308_c0_g1	356
TRINITY_DN4090_c0_g1	823
TRINITY_DN19308_c0_g4	629
TRINITY_DN19308_c0_g5	449
TRINITY_DN18498_c0_g1	1671
TRINITY_DN15748_c0_g1	886
TRINITY_DN19035_c0_g1	2695
TRINITY_DN17289_c0_g1	1672
TRINITY_DN3571_c0_g1	463
TRINITY_DN29924_c0_g1	405
TRINITY_DN18250_c0_g1	1287
TRINITY_DN19082_c5_g1	1731
TRINITY_DN33260_c0_g1	231
TRINITY_DN2613_c1_g1	214
TRINITY_DN8868_c0_g2	286
TRINITY_DN18837_c0_g1	216
TRINITY_DN14065_c0_g1	2191
TRINITY_DN23246_c0_g1	998
TRINITY_DN22874_c0_g1	466
TRINITY_DN19766_c0_g1	2570
TRINITY_DN15224_c0_g1	719
TRINITY_DN6555_c0_g1	434
TRINITY_DN24735_c0_g1	439
TRINITY_DN5938_c0_g1	661
TRINITY_DN4465_c0_g2	346
TRINITY_DN2687_c0_g1	212
TRINITY_DN8592_c0_g1	442
TRINITY_DN20834_c1_g1	4053
TRINITY_DN17325_c1_g3	1291
TRINITY_DN8644_c0_g1	934
TRINITY_DN1231_c0_g1	618
TRINITY_DN7705_c0_g2	251
TRINITY_DN17672_c0_g1	2590
TRINITY_DN23566_c0_g1	278
TRINITY_DN18831_c0_g1	943
TRINITY_DN17627_c0_g1	1883
TRINITY_DN8496_c0_g1	235
TRINITY_DN7956_c0_g1	558
TRINITY_DN33161_c0_g1	271
TRINITY_DN21544_c12_g3	231
TRINITY_DN21544_c12_g7	290
TRINITY_DN21544_c12_g6	741
TRINITY_DN21544_c12_g5	261
TRINITY_DN546_c0_g2	3825
TRINITY_DN5021_c1_g1	211
TRINITY_DN546_c0_g1	3789
TRINITY_DN30435_c0_g1	275
TRINITY_DN17585_c0_g1	716
TRINITY_DN13787_c0_g1	1204
TRINITY_DN18408_c0_g1	2031
TRINITY_DN12202_c1_g1	253
TRINITY_DN20768_c2_g8	226
TRINITY_DN20768_c2_g3	631
TRINITY_DN21571_c1_g1	1252
TRINITY_DN21571_c1_g2	398
TRINITY_DN16886_c8_g1	217
TRINITY_DN21571_c1_g4	968
TRINITY_DN21571_c1_g6	207
TRINITY_DN21571_c1_g7	224
TRINITY_DN18867_c2_g1	403
TRINITY_DN21571_c1_g9	207
TRINITY_DN536_c0_g1	238
TRINITY_DN15425_c0_g1	2587
TRINITY_DN8692_c0_g1	2026
TRINITY_DN3063_c0_g1	283
TRINITY_DN21108_c1_g1	1129
TRINITY_DN21108_c1_g2	1926
TRINITY_DN15352_c0_g1	1243
TRINITY_DN22398_c0_g1	401
TRINITY_DN5912_c0_g1	392
TRINITY_DN10859_c0_g1	712
TRINITY_DN10859_c0_g2	421
TRINITY_DN19587_c0_g1	1593
TRINITY_DN20415_c6_g3	441
TRINITY_DN19110_c0_g1	2443
TRINITY_DN12731_c0_g3	242
TRINITY_DN12731_c0_g2	206
TRINITY_DN12731_c0_g1	428
TRINITY_DN28201_c0_g1	229
TRINITY_DN12731_c0_g4	242
TRINITY_DN17910_c12_g29	217
TRINITY_DN15573_c0_g1	1836
TRINITY_DN17910_c12_g20	231
TRINITY_DN17910_c12_g22	428
TRINITY_DN17910_c12_g23	257
TRINITY_DN17910_c12_g24	510
TRINITY_DN13061_c0_g1	738
TRINITY_DN3288_c0_g1	1192
TRINITY_DN3469_c0_g1	351
TRINITY_DN3288_c0_g2	1228
TRINITY_DN16285_c1_g2	261
TRINITY_DN16285_c1_g3	814
TRINITY_DN18902_c36_g3	220
TRINITY_DN18902_c36_g1	215
TRINITY_DN3291_c0_g1	688
TRINITY_DN18902_c36_g9	252
TRINITY_DN18902_c36_g8	266
TRINITY_DN6512_c1_g1	226
TRINITY_DN14374_c0_g1	1578
TRINITY_DN25900_c0_g1	308
TRINITY_DN13379_c0_g1	946
TRINITY_DN21226_c2_g7	293
TRINITY_DN21226_c2_g4	270
TRINITY_DN21226_c2_g9	295
TRINITY_DN25814_c0_g1	429
TRINITY_DN16556_c0_g1	376
TRINITY_DN28444_c0_g1	370
TRINITY_DN5050_c0_g1	219
TRINITY_DN17436_c0_g1	982
TRINITY_DN19278_c0_g1	2713
TRINITY_DN20154_c0_g1	1715
TRINITY_DN30786_c0_g1	230
TRINITY_DN17877_c0_g1	1663
TRINITY_DN16062_c0_g1	1323
TRINITY_DN17155_c0_g1	1393
TRINITY_DN17358_c0_g1	2638
TRINITY_DN20685_c0_g1	2187
TRINITY_DN13206_c0_g1	1548
TRINITY_DN20867_c2_g4	210
TRINITY_DN4563_c0_g1	230
TRINITY_DN19510_c1_g1	1986
TRINITY_DN11075_c0_g1	1110
TRINITY_DN14390_c0_g1	1325
TRINITY_DN5699_c0_g1	551
TRINITY_DN13382_c1_g1	483
TRINITY_DN13382_c1_g2	451
TRINITY_DN30792_c1_g1	232
TRINITY_DN6874_c0_g1	2728
TRINITY_DN7599_c1_g1	203
TRINITY_DN23689_c0_g1	452
TRINITY_DN6874_c0_g2	534
TRINITY_DN6048_c0_g1	825
TRINITY_DN32702_c0_g1	599
TRINITY_DN29719_c0_g1	783
TRINITY_DN27019_c0_g1	216
TRINITY_DN21593_c0_g3	473
TRINITY_DN21593_c0_g1	244
TRINITY_DN6483_c1_g1	294
TRINITY_DN19066_c0_g1	229
TRINITY_DN25147_c0_g1	310
TRINITY_DN20876_c0_g3	3232
TRINITY_DN20876_c0_g1	415
TRINITY_DN21911_c0_g1	539
TRINITY_DN6682_c0_g1	541
TRINITY_DN21170_c0_g1	3033
TRINITY_DN29523_c0_g1	340
TRINITY_DN28509_c0_g1	241
TRINITY_DN14931_c0_g1	774
TRINITY_DN20970_c0_g1	2492
TRINITY_DN12090_c0_g1	546
TRINITY_DN20970_c0_g2	673
TRINITY_DN12599_c0_g3	513
TRINITY_DN12599_c0_g1	667
TRINITY_DN29182_c0_g1	245
TRINITY_DN14886_c0_g1	1125
TRINITY_DN9220_c0_g1	485
TRINITY_DN10204_c0_g1	425
TRINITY_DN6942_c0_g1	473
TRINITY_DN20929_c0_g1	715
TRINITY_DN22489_c0_g1	232
TRINITY_DN18494_c1_g14	296
TRINITY_DN26183_c1_g1	235
TRINITY_DN13873_c0_g1	549
TRINITY_DN13598_c0_g1	1081
TRINITY_DN9924_c0_g1	725
TRINITY_DN14477_c0_g1	345
TRINITY_DN6566_c0_g2	277
TRINITY_DN15888_c0_g1	1596
TRINITY_DN1199_c0_g1	1032
TRINITY_DN15021_c0_g1	647
TRINITY_DN4455_c0_g2	260
TRINITY_DN4455_c0_g3	203
TRINITY_DN6194_c0_g1	628
TRINITY_DN20379_c0_g1	2687
TRINITY_DN18959_c0_g1	2221
TRINITY_DN15781_c1_g1	488
TRINITY_DN7742_c0_g1	202
TRINITY_DN17395_c1_g3	305
TRINITY_DN19512_c0_g1	2182
TRINITY_DN18994_c0_g1	2003
TRINITY_DN24353_c0_g1	228
TRINITY_DN13559_c0_g1	213
TRINITY_DN13559_c0_g2	299
TRINITY_DN32343_c0_g1	611
TRINITY_DN16115_c0_g1	892
TRINITY_DN26524_c0_g1	336
TRINITY_DN23870_c0_g1	548
TRINITY_DN16157_c0_g1	1641
TRINITY_DN18418_c0_g10	1881
TRINITY_DN6560_c0_g1	478
TRINITY_DN17121_c0_g1	895
TRINITY_DN31589_c0_g1	598
TRINITY_DN14691_c1_g1	756
TRINITY_DN23492_c0_g1	236
TRINITY_DN29143_c0_g1	240
TRINITY_DN15043_c0_g1	2364
TRINITY_DN21073_c3_g1	206
TRINITY_DN21033_c0_g1	6165
TRINITY_DN26980_c0_g1	395
TRINITY_DN32463_c0_g1	629
TRINITY_DN27733_c0_g1	223
TRINITY_DN20866_c0_g1	4908
TRINITY_DN26768_c0_g1	286
TRINITY_DN17499_c0_g1	726
TRINITY_DN15508_c0_g1	2311
TRINITY_DN4991_c0_g1	224
TRINITY_DN19960_c6_g1	761
TRINITY_DN12382_c0_g1	597
TRINITY_DN15255_c1_g1	1122
TRINITY_DN14179_c0_g1	1440
TRINITY_DN20949_c0_g1	4221
TRINITY_DN14894_c0_g1	1357
TRINITY_DN25938_c0_g1	318
TRINITY_DN16667_c0_g1	2292
TRINITY_DN14768_c0_g1	1707
TRINITY_DN17824_c0_g1	2342
TRINITY_DN28799_c0_g1	235
TRINITY_DN16550_c0_g1	725
TRINITY_DN16430_c0_g1	2194
TRINITY_DN2392_c0_g1	354
TRINITY_DN3473_c0_g1	343
TRINITY_DN19489_c0_g1	2479
TRINITY_DN25459_c0_g1	810
TRINITY_DN7199_c0_g1	356
TRINITY_DN19118_c1_g1	2203
TRINITY_DN21210_c3_g4	406
TRINITY_DN21210_c3_g5	311
TRINITY_DN14238_c0_g1	1639
TRINITY_DN31713_c0_g1	654
TRINITY_DN31713_c0_g2	612
TRINITY_DN21210_c3_g1	227
TRINITY_DN20808_c0_g1	1396
TRINITY_DN22058_c0_g1	860
TRINITY_DN30632_c0_g1	235
TRINITY_DN17553_c0_g1	967
TRINITY_DN25931_c0_g1	580
TRINITY_DN19897_c0_g1	3610
TRINITY_DN20498_c0_g1	661
TRINITY_DN19813_c0_g1	2222
TRINITY_DN1069_c0_g1	224
TRINITY_DN19064_c0_g1	2308
TRINITY_DN16532_c0_g1	1891
TRINITY_DN20300_c0_g1	3502
TRINITY_DN14496_c0_g2	811
TRINITY_DN14496_c0_g1	684
TRINITY_DN10573_c1_g1	216
TRINITY_DN12409_c0_g1	651
TRINITY_DN16196_c0_g1	206
TRINITY_DN16196_c0_g2	216
TRINITY_DN16196_c0_g3	262
TRINITY_DN16196_c0_g4	224
TRINITY_DN16196_c0_g5	282
TRINITY_DN16196_c0_g6	290
TRINITY_DN16196_c0_g7	231
TRINITY_DN9729_c0_g1	691
TRINITY_DN8158_c0_g1	210
TRINITY_DN16515_c0_g1	1510
TRINITY_DN19747_c4_g9	238
TRINITY_DN19747_c4_g8	202
TRINITY_DN26916_c0_g1	252
TRINITY_DN19747_c4_g3	812
TRINITY_DN19747_c4_g2	247
TRINITY_DN19747_c4_g4	238
TRINITY_DN19747_c4_g7	218
TRINITY_DN19747_c4_g6	314
TRINITY_DN5111_c1_g1	203
TRINITY_DN20475_c0_g1	2346
